misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
5840,2803680,290,13.896693300000003,1.3852014183998107,-0.0010087266564369202,4.5103493452072145
5860,2813280,290,14.36117002,1.3840516567230225,-0.0064026668667793276,0.6868561580777168
5880,2822880,290,14.750185780000004,1.384665024280548,-0.003888337220996618,7.858916288614273
5900,2832480,290,16.15169796,1.3848708987236023,-0.007546187331900001,2.9580374002456664
5920,2842080,290,14.539328030000002,1.38400297164917,0.01220482513308525,8.186007619649171
5940,2851680,290,17.433193369999998,1.383698010444641,-0.004127243161201477,6.9858142018318174
5960,2861280,290,13.5309054,1.3822808265686035,-0.004657102562487125,13.902956831455231
5980,2870880,289,10.39497559,1.381787931919098,-0.006436014175415039,5.385773307085037
6000,2880480,289,12.681795110000001,1.383110761642456,0.009925325866788626,4.423039710521698
6020,2890080,289,16.139822000000002,1.3831082582473755,0.00014961559791117906,1.321090780198574
6040,2899680,289,15.89058953,1.3841117858886718,-0.001984929293394089,2.723134531080723
6060,2909280,289,14.181332939999999,1.38304660320282,-0.0028417209163308144,6.922122442722321
6080,2918880,289,14.760209360000001,1.382910716533661,-0.004674371238797903,9.776039856672288
6100,2928480,289,11.442150960000001,1.3830522298812866,-0.004894702415913344,9.818840688467025
6120,2938080,289,13.436075899999999,1.3828116178512573,-0.002925698459148407,2.020550449192524
6140,2947680,289,15.840770059999997,1.3816623568534852,-0.008059629425406455,4.389792111515999
6160,2957280,289,18.03483463,1.3810580015182494,-0.00357624888420105,0.9497869879007339
6180,2966880,289,9.92044593,1.3803995609283448,-0.003003816306591034,3.5309068709611893
6200,2976480,289,11.516579259999999,1.3812801480293273,0.0006868645548820495,29.9188729763031
6220,2986080,289,13.143500649999998,1.3801087021827698,0.0011873453855514525,11.972556209564209
6240,2995680,288,12.04319616,1.37971693277359,0.012057385826483368,49.953332328796385
6260,3005280,288,16.23345076,1.3795039057731628,-0.0011786624789237976,15.342097365856171
6280,3014880,288,15.693606690000001,1.3797771334648132,-0.0030355554074048994,6.690292477607727
6300,3024480,288,17.385770160000003,1.3791777968406678,-0.00327022522687912,3.793719172477722
6320,3034080,288,18.979028269999997,1.3784542083740234,0.006224965956062078,1.749112641811371
6340,3043680,288,15.15297526,1.378407633304596,-0.001751868426799774,2.299793565273285
6360,3053280,288,13.718177899999999,1.3790740966796875,0.0020076803863048553,24.992688179016113
6380,3062880,288,12.49247163,1.3779022812843322,0.004149225912988186,12.284298869967461
